,,,,,
Moon + noise,,,,,
,Alt Vs True NMI,Alt Vs Original NMI,Clustering Quality,Cost,Time(s)
ISM,,,,,
,1,0,2,-1.81,1.8
OM,,,,,
,0,1,2,-0.37,1.2
,0.48,0.005,2,-1.48,1.2
,0.46,0.001,2,-1.63,0.97
,0.41,0.0001,2,-1.62,1.3
,0.56,0.0001,2,-1.59,1
,0.58,0.0001,2,-1.55,1.5
,0.54,0,2,-1.53,1.24
,0,1,2,-0.37,1.3
,0.51,0,2,-1.54,1.1
,0.51,0.0001,2,-1.66,1.1
,1,0,2,-1.87,0.85
,,,,,12.76
DG,,,,,
,0.22,0.04,0.88,-0.53,1681
,0.004,0.004,0.86,-0.43,2731
,0.004,0.004,0.97,-0.72,1015
,0.051,0.009,0.87,-0.55,783
,0.003,0.013,0.5,-0.16,908
,0.018,0.12,0.55,-0.18,964
,0.001,0.0013,1.07,-0.79,863
,0.02,0.02,0.93,-0.52,1293
,0.04,0,0.51,-0.15,1089
,0.081,0.018,0.75,0.524,973
,1,0,1.97,-1.74,2029
,,,,,
Moon,,,,,
,Alt Vs True NMI,Alt Vs Original NMI,Clustering Quality,Cost,Time(s)
ISM,,,,,
,1,0,1.9944,1.241,0.169
OM,,,,,
,1,0,1.9995,5.741,0.9
,0.018,0.008,1.9855,17.444,1.102
,0.594,0,1.9993,21.145,1.107
,0.429,0.006,1.9976,20.748,1.351
,0.339,0.003,1.9973,18.761,0.769
,0.626,0,1.9994,19.656,1.101
,0.153,0.001,1.9936,13.736,1.011
,0.568,0,1.995,21.506,1.177
,0.579,0,1.9986,22.727,0.584
,1,0,1.998,7.314,1.204
DG,,,,,
,0.046,0.49,1.0079,46.28,74.607
,0,0.952,0.8069,46.7,253.48
,0,0.952,0.7335,50.234,162.577
,0,1,0.9613,48.304,300.035
,0,1,0.3918,41.995,275.307
,0,0.952,1.0328,46.831,541.2
,0,1,0.4037,45.998,509.969
,0,1,0.4072,6.123,723.828
,0,1,0.1317,6.459,824.768
